candidate_id,kind,name_or_relation,confidence,evidence_real,type_correct,overall_correct,notes,evidence_text
c72d8961-0275-49bc-8f4a-bc0d6d5bff45,entity,Procedure:断点续编功能,0.9,1,1,1,,断点续编功能
f13141d0-cb97-48c0-b7bc-e3e76fb58cdb,entity,ConfigItem:坐标文件,0.9,1,0,0,resolution_diagnostic;likely_section_duplicate,坐标文件
cdcadd02-4241-445b-b5a0-a1db4a2fb850,relation,UEModelBuilder --has_procedure--> 地面模型,0.9,1,1,1,,UEModelBuilder
7870a0dd-011b-45f6-b955-3032ba4838f0,entity,Error:error,0.9,1,1,1,,"error there are some pic who are used by one closed object, such as a box"
2f8e16c5-a170-413e-8d66-ef861194ef11,entity,Error:error param_average,0.9,1,1,1,,error param_average there is a large differ from uv area and point area and it may be caused by wrong uvs or mesh faces
1563d04b-4214-4c5e-b8e3-9fce46d62bda,relation,ModelBuilder --has_procedure--> 工程设置,0.9,1,1,1,,ModelBuilder > 工程设置 > 组织方式：设置成果数据的组织方式
991aed68-5d53-40ad-9c6d-9bfec6cf74d8,relation,UEModelBuilder --has_procedure--> 灯光,0.9,1,1,1,,UEModelBuilder
d7756cde-ff80-4014-81ca-9d77e2265fe8,entity,Error:E:\bugs\sunbo\建筑ps\jpg not exist,0.95,1,1,1,,error E:\bugs\sunbo\建筑ps\jpg not exist
dd3b0f29-9c81-4c93-a1ec-c6a481930b07,relation,ModelBuilder --has_procedure--> 新建工程,0.9,1,1,1,,新建一个模型数据的编译处理工程。
fb67b67c-9a94-498b-b164-16648fb60da0,entity,Procedure:EPSG编码,0.9,1,0,0,resolution_diagnostic;likely_section_duplicate,地理坐标编码
3ac3476c-12e4-45ef-9b8a-87fa42053fe6,entity,ConfigItem:Geographic Coordinate System 地理坐标,0.8,1,1,1,,Geographic Coordinate System 地理坐标
d6e2dbfa-acc4-48f9-a74c-0f6f1e70ece1,entity,Module:材质实例,0.8,1,1,1,,材质实例
da833509-c4dc-445f-bcd4-490ad32ac930,relation,数据设置 --has_step--> 数据管理,0.85,1,1,1,,ModelBuilder > 数据设置 > 数据管理
